program,conditional_branches,unconditional_branches,loop_headers,calls,ret_exits
aha-mont64,384507002,456417002,189927000,8460006,8460006
crc32,174420002,348670002,174250000,174420006,174420006
cubic,660007,970003,310000,200006,200006
edn,371925005,732801003,360876000,696006,696006
huffbench,495825002,486255002,233266000,1078006,1078006
malmult-int,406732884,794099724,387366840,92807,92807
minver,109335036,155955031,56610012,6105006,6105006
nbody,6228064,10849050,4621020,101006,101006
nettle-aes,78000771,147732515,51168256,858006,858006
nettle-sha256,30400019,185250019,24225008,3800006,3800006
primecount,880205002,726973002,282281000,1006,1006
sglib-combined,680950108,627474208,144884400,76618308,76618308
st,9204004,18317003,9113000,7904006,7904006
tarfind,80905424,114040424,48400474,36331006,36331006
ud,412362003,616326003,255694000,1478006,1478006
